0;param1;param2;good;bad
571;33.4;0.45;424.0;26.0
572;33.4;0.475;424.0;26.0
573;33.4;0.5;435.0;15.0
574;33.4;0.5250000000000001;435.0;15.0
575;33.4;0.55;435.0;15.0
576;33.5;0.45;424.0;26.0
577;33.5;0.475;424.0;26.0
578;33.5;0.5;435.0;15.0
579;33.5;0.5250000000000001;435.0;15.0
580;33.5;0.55;435.0;15.0
581;33.6;0.45;424.0;26.0
582;33.6;0.475;424.0;26.0
583;33.6;0.5;435.0;15.0
584;33.6;0.5250000000000001;435.0;15.0
585;33.6;0.55;435.0;15.0
586;33.7;0.45;424.0;26.0
587;33.7;0.475;424.0;26.0
588;33.7;0.5;435.0;15.0
589;33.7;0.5250000000000001;435.0;15.0
590;33.7;0.55;435.0;15.0
591;33.8;0.45;424.0;26.0
592;33.8;0.475;424.0;26.0
593;33.8;0.5;435.0;15.0
594;33.8;0.5250000000000001;435.0;15.0
595;33.8;0.55;435.0;15.0
596;33.9;0.45;424.0;26.0
597;33.9;0.475;424.0;26.0
598;33.9;0.5;435.0;15.0
599;33.9;0.5250000000000001;435.0;15.0
600;33.9;0.55;435.0;15.0
601;34.0;0.45;424.0;26.0
602;34.0;0.475;424.0;26.0
603;34.0;0.5;435.0;15.0
604;34.0;0.5250000000000001;435.0;15.0
605;34.0;0.55;435.0;15.0
606;34.1;0.45;424.0;26.0
607;34.1;0.475;424.0;26.0
608;34.1;0.5;435.0;15.0
609;34.1;0.5250000000000001;435.0;15.0
610;34.1;0.55;435.0;15.0
611;34.2;0.45;424.0;26.0
612;34.2;0.475;424.0;26.0
613;34.2;0.5;435.0;15.0
614;34.2;0.5250000000000001;435.0;15.0
615;34.2;0.55;435.0;15.0
616;34.3;0.45;424.0;26.0
617;34.3;0.475;424.0;26.0
618;34.3;0.5;435.0;15.0
619;34.3;0.5250000000000001;435.0;15.0
620;34.3;0.55;435.0;15.0
621;34.4;0.45;424.0;26.0
622;34.4;0.475;424.0;26.0
623;34.4;0.5;435.0;15.0
624;34.4;0.5250000000000001;435.0;15.0
625;34.4;0.55;435.0;15.0
626;34.5;0.45;424.0;26.0
627;34.5;0.475;424.0;26.0
628;34.5;0.5;435.0;15.0
629;34.5;0.5250000000000001;435.0;15.0
630;34.5;0.55;435.0;15.0
631;34.6;0.45;424.0;26.0
632;34.6;0.475;424.0;26.0
633;34.6;0.5;435.0;15.0
634;34.6;0.5250000000000001;435.0;15.0
635;34.6;0.55;435.0;15.0
636;34.7;0.45;424.0;26.0
637;34.7;0.475;424.0;26.0
638;34.7;0.5;435.0;15.0
639;34.7;0.5250000000000001;435.0;15.0
640;34.7;0.55;435.0;15.0
641;34.8;0.45;424.0;26.0
642;34.8;0.475;424.0;26.0
643;34.8;0.5;435.0;15.0
644;34.8;0.5250000000000001;435.0;15.0
645;34.8;0.55;435.0;15.0
646;34.9;0.45;424.0;26.0
647;34.9;0.475;424.0;26.0
648;34.9;0.5;435.0;15.0
649;34.9;0.5250000000000001;435.0;15.0
650;34.9;0.55;435.0;15.0
