0;param1;param2;good;bad
449;30.900.000.000.000.100;0.5250000000000001;1013.0;67.0
450;30.900.000.000.000.100;0.55;1012.0;68.0
451;31.000.000.000.000.100;0.45;1016.0;64.0
452;31.000.000.000.000.100;0.47500000000000003;1015.0;65.0
453;31.000.000.000.000.100;0.5;1015.0;65.0
454;31.000.000.000.000.100;0.5250000000000001;1013.0;67.0
455;31.000.000.000.000.100;0.55;1012.0;68.0
456;3.110.000.000.000.010;0.45;1016.0;64.0
457;3.110.000.000.000.010;0.47500000000000003;1015.0;65.0
458;3.110.000.000.000.010;0.5;1015.0;65.0
459;3.110.000.000.000.010;0.5250000000000001;1013.0;67.0
460;3.110.000.000.000.010;0.55;1012.0;68.0
461;3.120.000.000.000.010;0.45;1016.0;64.0
462;3.120.000.000.000.010;0.47500000000000003;1015.0;65.0
463;3.120.000.000.000.010;0.5;1015.0;65.0
464;3.120.000.000.000.010;0.5250000000000001;1013.0;67.0
465;3.120.000.000.000.010;0.55;1012.0;68.0
466;31.300.000.000.000.100;0.45;1016.0;64.0
467;31.300.000.000.000.100;0.47500000000000003;1015.0;65.0
468;31.300.000.000.000.100;0.5;1015.0;65.0
469;31.300.000.000.000.100;0.5250000000000001;1013.0;67.0
470;31.300.000.000.000.100;0.55;1012.0;68.0
471;31.400.000.000.000.100;0.45;1016.0;64.0
472;31.400.000.000.000.100;0.47500000000000003;1015.0;65.0
473;31.400.000.000.000.100;0.5;1015.0;65.0
474;31.400.000.000.000.100;0.5250000000000001;1013.0;67.0
475;31.400.000.000.000.100;0.55;1012.0;68.0
476;31.500.000.000.000.100;0.45;1016.0;64.0
477;31.500.000.000.000.100;0.47500000000000003;1015.0;65.0
478;31.500.000.000.000.100;0.5;1015.0;65.0
