                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.77754,                0.35721,                0.88018,                0.92831,                0.87524,                0.91261,                0.60497,                 1.0904,                 0.4313,                 1.0228,              0.0010274,              0.0010274,              0.0010274
                    135,                0.77535,                 0.3565,                0.87907,                0.91657,                0.88225,                0.90973,                 0.6031,                 1.0837,                0.42436,                  1.016,              0.0010244,              0.0010244,              0.0010244
                    136,                0.77109,                0.35549,                0.87742,                0.91972,                0.88565,                 0.9198,                0.61011,                 1.0899,                0.42543,                 1.0223,              0.0010213,              0.0010213,              0.0010213
                    137,                0.77868,                0.35772,                0.88187,                0.94826,                0.86364,                0.91289,                 0.6011,                 1.0964,                0.42477,                 1.0221,              0.0010183,              0.0010183,              0.0010183
                    138,                0.77336,                0.35671,                0.87653,                0.93581,                0.87718,                0.91835,                0.60806,                 1.0937,                0.41962,                 1.0236,              0.0010152,              0.0010152,              0.0010152
                    139,                0.77808,                0.36131,                0.88325,                0.94238,                0.88046,                0.91584,                0.60947,                 1.0929,                0.42405,                 1.0208,              0.0010122,              0.0010122,              0.0010122
                    140,                0.76602,                0.35232,                0.87555,                0.94068,                0.88045,                0.91757,                0.61058,                 1.0864,                0.42659,                 1.0171,              0.0010092,              0.0010092,              0.0010092
                    141,                0.76004,                0.35495,                0.87682,                0.92945,                0.87642,                0.90899,                 0.6117,                 1.0876,                0.41837,                  1.018,              0.0010061,              0.0010061,              0.0010061
                    142,                0.76324,                0.35454,                 0.8755,                0.94069,                0.86289,                  0.919,                0.61445,                 1.0931,                0.42204,                 1.0203,              0.0010031,              0.0010031,              0.0010031
                    143,                0.74999,                0.34898,                0.87701,                0.92333,                0.88566,                 0.9154,                0.60879,                 1.1002,                0.42263,                 1.0281,                  0.001,                  0.001,                  0.001
                    144,                0.76405,                0.35452,                0.87793,                 0.9268,                0.89321,                0.92558,                0.61417,                 1.0928,                0.42061,                 1.0206,             0.00099698,             0.00099698,             0.00099698
                    145,                0.75066,                0.34917,                0.87192,                 0.9349,                0.88035,                0.91281,                0.60955,                 1.0924,                0.42143,                 1.0191,             0.00099394,             0.00099394,             0.00099394
                    146,                0.75664,                0.35668,                0.87095,                0.94227,                0.87596,                0.92225,                0.61149,                 1.0919,                0.41789,                 1.0248,              0.0009909,              0.0009909,              0.0009909
                    147,                0.74675,                0.34578,                0.87521,                0.91855,                0.88867,                0.91739,                0.61729,                 1.0919,                0.42319,                 1.0259,             0.00098785,             0.00098785,             0.00098785
                    148,                0.74425,                0.34853,                0.87476,                0.91794,                0.88216,                0.91695,                0.61617,                 1.0874,                 0.4273,                 1.0258,             0.00098481,             0.00098481,             0.00098481
                    149,                 0.7422,                0.34553,                0.87035,                0.93489,                0.86914,                0.91316,                0.61202,                 1.0856,                0.42246,                 1.0251,             0.00098177,             0.00098177,             0.00098177
                    150,                0.73938,                0.34492,                0.87001,                0.93246,                0.87656,                 0.9138,                0.60234,                 1.0954,                0.42401,                 1.0243,             0.00097873,             0.00097873,             0.00097873
                    151,                0.72847,                0.34087,                0.86756,                0.93861,                0.88132,                0.91739,                0.61031,                  1.089,                0.41817,                 1.0285,             0.00097568,             0.00097568,             0.00097568
                    152,                0.73953,                0.34697,                0.86946,                0.93067,                0.88493,                0.91429,                0.60925,                 1.0877,                0.42404,                 1.0237,             0.00097264,             0.00097264,             0.00097264
